 1.00000     0.00000
 0.94383     0.00138
 0.89150     0.00294
 0.84272     0.00466
 0.79718     0.00650
 0.75457     0.00840
 0.71460     0.01034
 0.67695     0.01227
 0.64132     0.01415
 0.60741     0.01594
 0.57491     0.01760
 0.54358     0.01911
 0.51328     0.02047
 0.48387     0.02169
 0.45522     0.02279
 0.42722     0.02377
 0.39972     0.02464
 0.37261     0.02541
 0.34575     0.02610
 0.31901     0.02672
 0.29227     0.02727
 0.26559     0.02774
 0.23917     0.02810
 0.21323     0.02831
 0.18801     0.02835
 0.16372     0.02818
 0.14058     0.02777
 0.11883     0.02708
 0.09867     0.02608
 0.08034     0.02474
 0.06403     0.02303
 0.04977     0.02098
 0.03748     0.01866
 0.02707     0.01613
 0.01848     0.01344
 0.01162     0.01068
 0.00642     0.00789
 0.00280     0.00513
 0.00069     0.00248
 0.00000     0.00000
 0.00050    -0.00253
 0.00201    -0.00532
 0.00450    -0.00833
 0.00798    -0.01152
 0.01242    -0.01485
 0.01782    -0.01828
 0.02416    -0.02176
 0.03144    -0.02525
 0.03964    -0.02871
 0.04876    -0.03211
 0.05881    -0.03540
 0.06988    -0.03859
 0.08206    -0.04168
 0.09546    -0.04467
 0.11015    -0.04755
 0.12624    -0.05035
 0.14382    -0.05304
 0.16299    -0.05563
 0.18382    -0.05813
 0.20643    -0.06054
 0.23090    -0.06279
 0.25733    -0.06479
 0.28579    -0.06643
 0.31640    -0.06760
 0.34923    -0.06821
 0.38437    -0.06815
 0.42192    -0.06731
 0.46198    -0.06558
 0.50462    -0.06287
 0.54990    -0.05908
 0.59749    -0.05429
 0.64689    -0.04867
 0.69758    -0.04239
 0.74905    -0.03561
 0.80077    -0.02850
 0.85224    -0.02121
 0.90295    -0.01392
 0.95237    -0.00680
 1.00000     0.00000
